component,location,carrier,0
Generator,AT0 11,solar,1.2083352927959704e-05
Generator,AT0 11,solar rooftop,0.0
Generator,AT0 11,solar-hsat,0.0
Generator,AT0 11,urban central heat vent,0.9982791949463402
Generator,AT0 11,urban central solar thermal,
Generator,AT0 11,urban decentral heat vent,0.2163592338665796
Generator,AT0 11,urban decentral solar thermal,
Generator,AT0 12,onwind,0.0010210623946037098
Generator,AT0 12,ror,0.1086328813559322
Generator,AT0 12,rural heat vent,0.787497747296903
Generator,AT0 12,rural solar thermal,
Generator,AT0 12,solar,0.02092246355801353
Generator,AT0 12,solar rooftop,0.0
Generator,AT0 12,solar-hsat,0.0
Generator,AT0 12,urban central heat vent,0.8226612096312174
Generator,AT0 12,urban central solar thermal,
Generator,AT0 12,urban decentral heat vent,0.7878000780527524
Generator,AT0 12,urban decentral solar thermal,
Generator,AT0 13,onwind,0.0
Generator,AT0 13,ror,0.10993783333333333
Generator,AT0 13,rural heat vent,0.4830879864656543
Generator,AT0 13,rural solar thermal,
Generator,AT0 13,solar,0.032967354472868096
Generator,AT0 13,solar rooftop,0.0
Generator,AT0 13,solar-hsat,0.0
Generator,AT0 13,urban central heat vent,0.9694220749914803
Generator,AT0 13,urban central solar thermal,
Generator,AT0 13,urban decentral heat vent,0.7013260863688265
Generator,AT0 13,urban decentral solar thermal,
Generator,AT0 14,onwind,0.0083784375
Generator,AT0 14,ror,0.11512897284533648
Generator,AT0 14,rural heat vent,0.7228974549436658
Generator,AT0 14,rural solar thermal,
Generator,AT0 14,solar,0.022893789423649145
Generator,AT0 14,solar rooftop,0.0
Generator,AT0 14,solar-hsat,0.0
Generator,AT0 14,urban decentral heat vent,0.999987843861468
Generator,AT0 14,urban decentral solar thermal,
Generator,AT0 15,onwind,0.0
Generator,AT0 15,ror,0.2404118315018315
Generator,AT0 15,rural heat vent,0.7913771952571654
Generator,AT0 15,rural solar thermal,
Generator,AT0 15,solar,0.02844006549405711
Generator,AT0 15,solar rooftop,0.0
Generator,AT0 15,solar-hsat,0.0
Generator,AT0 15,urban decentral heat vent,0.6472303206997085
Generator,AT0 15,urban decentral solar thermal,
Generator,AT0 16,onwind,
Generator,AT0 16,ror,0.127483125
Generator,AT0 16,rural heat vent,0.828587274481737
Generator,AT0 16,rural solar thermal,
Generator,AT0 16,solar,0.03976437348685092
Generator,AT0 16,solar rooftop,0.0
Generator,AT0 16,solar-hsat,0.0
Generator,AT0 16,urban decentral heat vent,0.29013824884792627
Generator,AT0 16,urban decentral solar thermal,
Generator,AT0 17,onwind,0.0002356896551724138
Generator,AT0 17,rural heat vent,0.8175089355236141
Generator,AT0 17,rural solar thermal,
Generator,AT0 17,solar,0.022298875158231393
Generator,AT0 17,solar rooftop,0.0
Generator,AT0 17,solar-hsat,0.0
Generator,AT0 17,urban decentral heat vent,0.42140151515151514
Generator,AT0 17,urban decentral solar thermal,
Generator,AT0 18,onwind,
Generator,AT0 18,ror,0.4991712777540879
Generator,AT0 18,rural heat vent,0.4484199933433535
Generator,AT0 18,rural solar thermal,
Generator,AT0 18,solar,0.03833529131864261
Generator,AT0 18,solar rooftop,0.0
Generator,AT0 18,solar-hsat,0.0
Generator,AT0 18,urban central heat vent,0.9438388743838113
Generator,AT0 18,urban central solar thermal,
Generator,AT0 18,urban decentral heat vent,0.6821520051269452
Generator,AT0 18,urban decentral solar thermal,
Generator,AT0 19,onwind,
Generator,AT0 19,ror,0.11660407894736842
Generator,AT0 19,rural heat vent,0.5106871159463218
Generator,AT0 19,rural solar thermal,
Generator,AT0 19,solar,0.023049843784149242
Generator,AT0 19,solar rooftop,0.0
Generator,AT0 19,solar-hsat,0.0
Generator,AT0 19,urban central heat vent,0.6841195225836023
Generator,AT0 19,urban central solar thermal,
Generator,AT0 19,urban decentral heat vent,0.761317163298666
Generator,AT0 19,urban decentral solar thermal,
Generator,AT0 2,onwind,0.0024394971145919207
Generator,AT0 2,rural heat vent,0.6029334163645442
Generator,AT0 2,rural solar thermal,
Generator,AT0 2,solar,0.02048136271650459
Generator,AT0 2,solar rooftop,0.0
Generator,AT0 2,solar-hsat,0.0
Generator,AT0 2,urban central heat vent,0.2640651828341694
Generator,AT0 2,urban central solar thermal,
Generator,AT0 2,urban decentral heat vent,0.7108927769530207
Generator,AT0 2,urban decentral solar thermal,
Generator,AT0 20,onwind,0.008216666666666667
Generator,AT0 20,ror,0.49917062256809336
Generator,AT0 20,rural heat vent,0.7440120058329679
Generator,AT0 20,rural solar thermal,
Generator,AT0 20,solar,0.0234119774455697
Generator,AT0 20,solar rooftop,0.0
Generator,AT0 20,solar-hsat,0.0
Generator,AT0 20,urban central heat vent,0.7809628261412273
Generator,AT0 20,urban central solar thermal,
Generator,AT0 20,urban decentral heat vent,0.5291367341433847
Generator,AT0 20,urban decentral solar thermal,
Generator,AT0 21,onwind,
Generator,AT0 21,rural heat vent,0.6753917408882515
Generator,AT0 21,rural solar thermal,
Generator,AT0 21,solar,4.1493366673140084e-05
Generator,AT0 21,solar rooftop,0.0
Generator,AT0 21,solar-hsat,0.0
Generator,AT0 21,urban central heat vent,0.8873108500913468
Generator,AT0 21,urban central solar thermal,
Generator,AT0 21,urban decentral heat vent,0.3941648843844161
Generator,AT0 21,urban decentral solar thermal,
Generator,AT0 22,onwind,0.0
Generator,AT0 22,rural heat vent,0.5980069898690158
Generator,AT0 22,rural solar thermal,
Generator,AT0 22,solar,0.031553935186853954
Generator,AT0 22,solar rooftop,0.0
Generator,AT0 22,solar-hsat,0.0
Generator,AT0 22,urban decentral heat vent,0.9998019045478082
Generator,AT0 22,urban decentral solar thermal,
Generator,AT0 23,onwind,0.008184029126213592
Generator,AT0 23,ror,0.4419893489148581
Generator,AT0 23,rural heat vent,0.43037974683544306
Generator,AT0 23,rural solar thermal,
Generator,AT0 23,solar,0.019375598837359127
Generator,AT0 23,solar rooftop,0.0
Generator,AT0 23,solar-hsat,0.0
Generator,AT0 23,urban central heat vent,0.43548387096774194
Generator,AT0 23,urban central solar thermal,
Generator,AT0 23,urban decentral heat vent,0.372093023255814
Generator,AT0 23,urban decentral solar thermal,
Generator,AT0 24,onwind,
Generator,AT0 24,ror,0.1950841676599126
Generator,AT0 24,rural heat vent,0.3733416759454057
Generator,AT0 24,rural solar thermal,
Generator,AT0 24,solar,0.02419272888212221
Generator,AT0 24,solar rooftop,0.0
Generator,AT0 24,solar-hsat,0.0
Generator,AT0 24,urban central heat vent,0.11182553845784972
Generator,AT0 24,urban central solar thermal,
Generator,AT0 24,urban decentral heat vent,0.5637871729170237
Generator,AT0 24,urban decentral solar thermal,
Generator,AT0 3,onwind,
Generator,AT0 3,ror,0.11539117647058825
Generator,AT0 3,rural heat vent,0.7372896414393695
Generator,AT0 3,rural solar thermal,
Generator,AT0 3,solar,0.028850667949729816
Generator,AT0 3,solar rooftop,0.0
Generator,AT0 3,solar-hsat,0.0
Generator,AT0 3,urban central heat vent,0.8266786497707848
Generator,AT0 3,urban central solar thermal,
Generator,AT0 3,urban decentral heat vent,0.737322045927115
Generator,AT0 3,urban decentral solar thermal,
Generator,AT0 4,onwind,
Generator,AT0 4,ror,0.18987138849929874
Generator,AT0 4,rural heat vent,0.11318795430944964
Generator,AT0 4,rural solar thermal,
Generator,AT0 4,solar,0.024156102395061295
Generator,AT0 4,solar rooftop,0.0
Generator,AT0 4,solar-hsat,0.0
Generator,AT0 4,urban central heat vent,0.13278688524590163
Generator,AT0 4,urban central solar thermal,
Generator,AT0 4,urban decentral heat vent,0.048502369196385876
Generator,AT0 4,urban decentral solar thermal,
Generator,AT0 5,onwind,
Generator,AT0 5,ror,0.13565307692307693
Generator,AT0 5,rural heat vent,0.1674544953935583
Generator,AT0 5,rural solar thermal,
Generator,AT0 5,solar,1.188232392414786e-05
Generator,AT0 5,solar rooftop,0.0
Generator,AT0 5,solar-hsat,0.0
Generator,AT0 5,urban central heat vent,0.900006223967882
Generator,AT0 5,urban central solar thermal,
Generator,AT0 5,urban decentral heat vent,0.6947173179881896
Generator,AT0 5,urban decentral solar thermal,
Generator,AT0 6,onwind,
Generator,AT0 6,ror,0.12921923664122137
Generator,AT0 6,rural heat vent,0.4886674901885093
Generator,AT0 6,rural solar thermal,
Generator,AT0 6,solar,0.03182282256740408
Generator,AT0 6,solar rooftop,0.0
Generator,AT0 6,solar-hsat,0.0
Generator,AT0 6,urban decentral heat vent,0.9977651835296792
Generator,AT0 6,urban decentral solar thermal,
Generator,AT0 7,onwind,
Generator,AT0 7,ror,0.20387400000000003
Generator,AT0 7,rural heat vent,0.38321911571836176
Generator,AT0 7,rural solar thermal,
Generator,AT0 7,solar,1.632705574367045e-05
Generator,AT0 7,solar rooftop,0.0
Generator,AT0 7,solar-hsat,0.0
Generator,AT0 7,urban decentral heat vent,0.9895881595268327
Generator,AT0 7,urban decentral solar thermal,
Generator,AT0 8,onwind,0.008629999999999999
Generator,AT0 8,ror,0.12842521341463414
Generator,AT0 8,rural heat vent,0.7586219300127853
Generator,AT0 8,rural solar thermal,
Generator,AT0 8,solar,0.020167722137744246
Generator,AT0 8,solar rooftop,0.0
Generator,AT0 8,solar-hsat,0.0
Generator,AT0 8,urban central heat vent,0.7603817208674535
Generator,AT0 8,urban central solar thermal,
Generator,AT0 8,urban decentral heat vent,0.7586333596255861
Generator,AT0 8,urban decentral solar thermal,
Generator,AT0 9,onwind,3.257142857142857e-05
Generator,AT0 9,rural heat vent,0.6735179607686452
Generator,AT0 9,rural solar thermal,
Generator,AT0 9,solar,0.022320016141165758
Generator,AT0 9,solar rooftop,0.0
Generator,AT0 9,solar-hsat,0.0
Generator,AT0 9,urban central heat vent,0.6759284871371597
Generator,AT0 9,urban central solar thermal,
