component,location,carrier,0
Link,AT0 17,Sabatier,0.0
Link,AT0 17,V2G,691.55775
Link,AT0 17,battery charger,2e-05
Link,AT0 17,battery discharger,2e-05
Link,AT0 17,electricity distribution grid,3e-05
Link,AT0 17,home battery charger,1e-05
Link,AT0 17,home battery discharger,2e-05
Link,AT0 17,methanolisation,5e-05
Link,AT0 17,rural air heat pump,0.0
Link,AT0 17,rural ground heat pump,0.0
Link,AT0 17,rural resistive heater,1087.68247
Link,AT0 17,rural water tanks charger,0.00012
Link,AT0 17,rural water tanks discharger,0.00012
Link,AT0 17,urban decentral air heat pump,0.0
Link,AT0 17,urban decentral resistive heater,2.54851
Link,AT0 17,urban decentral water tanks charger,0.00012
Link,AT0 17,urban decentral water tanks discharger,0.00012
Link,AT0 18,BEV charger,1367.33581
Link,AT0 18,DAC,0.0
Link,AT0 18,Fischer-Tropsch,0.0
Link,AT0 18,H2 Electrolysis,0.00036
Link,AT0 18,H2 Fuel Cell,0.0
Link,AT0 18,H2 pipeline,0.00055
Link,AT0 18,Sabatier,0.0
Link,AT0 18,V2G,683.66791
Link,AT0 18,battery charger,2e-05
Link,AT0 18,battery discharger,2e-05
Link,AT0 18,electricity distribution grid,2e-05
Link,AT0 18,home battery charger,1e-05
Link,AT0 18,home battery discharger,1e-05
Link,AT0 18,methanolisation,0.00019
Link,AT0 18,rural air heat pump,0.0
Link,AT0 18,rural ground heat pump,0.0
Link,AT0 18,rural resistive heater,236.60656
Link,AT0 18,rural water tanks charger,0.00012
Link,AT0 18,rural water tanks discharger,0.00012
Link,AT0 18,urban central air heat pump,0.0
Link,AT0 18,urban central ptes heat pump,0.0
Link,AT0 18,urban central resistive heater,600.87618
Link,AT0 18,urban central water pits charger,6e-05
Link,AT0 18,urban central water pits discharger,6e-05
Link,AT0 18,urban central water tanks charger,3e-05
Link,AT0 18,urban central water tanks discharger,3e-05
Link,AT0 18,urban decentral air heat pump,0.0
Link,AT0 18,urban decentral resistive heater,60.47899
Link,AT0 18,urban decentral water tanks charger,0.00012
Link,AT0 18,urban decentral water tanks discharger,0.00012
Link,AT0 19,BEV charger,2554.72015
Link,AT0 19,DAC,0.0
Link,AT0 19,Fischer-Tropsch,0.0
Link,AT0 19,H2 Electrolysis,0.0001
Link,AT0 19,H2 Fuel Cell,0.0
Link,AT0 19,H2 pipeline,0.00075
Link,AT0 19,Sabatier,0.0
Link,AT0 19,V2G,1277.36008
Link,AT0 19,battery charger,2e-05
Link,AT0 19,battery discharger,2e-05
Link,AT0 19,electricity distribution grid,2e-05
Link,AT0 19,home battery charger,1e-05
Link,AT0 19,home battery discharger,1e-05
Link,AT0 19,methanolisation,7e-05
Link,AT0 19,rural air heat pump,0.0
Link,AT0 19,rural ground heat pump,0.0
Link,AT0 19,rural resistive heater,174.35558
Link,AT0 19,rural water tanks charger,0.00012
Link,AT0 19,rural water tanks discharger,0.00012
Link,AT0 19,urban central air heat pump,0.0
Link,AT0 19,urban central ptes heat pump,0.0
Link,AT0 19,urban central resistive heater,430.86186
Link,AT0 19,urban central water pits charger,0.07369
Link,AT0 19,urban central water pits discharger,0.07369
Link,AT0 19,urban central water tanks charger,7e-05
Link,AT0 19,urban central water tanks discharger,7e-05
Link,AT0 19,urban decentral air heat pump,0.0
Link,AT0 19,urban decentral resistive heater,306.91488
Link,AT0 19,urban decentral water tanks charger,0.00012
Link,AT0 19,urban decentral water tanks discharger,0.00012
Link,AT0 2,BEV charger,2154.52397
Link,AT0 2,DAC,0.0
Link,AT0 2,Fischer-Tropsch,0.0
Link,AT0 2,H2 Electrolysis,4e-05
Link,AT0 2,H2 Fuel Cell,0.0
Link,AT0 2,H2 pipeline,0.00101
Link,AT0 2,Sabatier,0.0
Link,AT0 2,V2G,1077.26198
Link,AT0 2,battery charger,2e-05
Link,AT0 2,battery discharger,2e-05
Link,AT0 2,electricity distribution grid,3e-05
Link,AT0 2,home battery charger,1e-05
Link,AT0 2,home battery discharger,1e-05
Link,AT0 2,methanolisation,0.0001
Link,AT0 2,rural air heat pump,0.0
Link,AT0 2,rural ground heat pump,0.0
Link,AT0 2,rural resistive heater,142.45149
Link,AT0 2,rural water tanks charger,0.00013
Link,AT0 2,rural water tanks discharger,0.00013
Link,AT0 2,urban central air heat pump,0.0
Link,AT0 2,urban central ptes heat pump,0.0
Link,AT0 2,urban central resistive heater,295.428
Link,AT0 2,urban central water pits charger,216.11982
Link,AT0 2,urban central water pits discharger,216.11982
Link,AT0 2,urban central water tanks charger,7e-05
Link,AT0 2,urban central water tanks discharger,7e-05
Link,AT0 2,urban decentral air heat pump,0.0
Link,AT0 2,urban decentral resistive heater,302.10555
Link,AT0 2,urban decentral water tanks charger,0.00012
