component,location,carrier,0
Link,AT0 1,urban central water pits charger,0.00039
Link,AT0 1,urban central water pits discharger,0.00039
Link,AT0 1,urban central water tanks charger,0.00021
Link,AT0 1,urban central water tanks discharger,0.00021
Link,AT0 1,urban decentral air heat pump,0.0
Link,AT0 1,urban decentral resistive heater,52.36665
Link,AT0 1,urban decentral water tanks charger,0.00076
Link,AT0 1,urban decentral water tanks discharger,0.00076
Link,AT0 10,BEV charger,3134.20459
Link,AT0 10,DAC,0.0
Link,AT0 10,Fischer-Tropsch,2e-05
Link,AT0 10,H2 Electrolysis,0.00166
Link,AT0 10,H2 Fuel Cell,1e-05
Link,AT0 10,H2 pipeline,4.56976
Link,AT0 10,Sabatier,1e-05
Link,AT0 10,V2G,1567.1023
Link,AT0 10,battery charger,0.00014
Link,AT0 10,battery discharger,0.00014
Link,AT0 10,electricity distribution grid,0.00045
Link,AT0 10,home battery charger,0.0001
Link,AT0 10,home battery discharger,0.0001
Link,AT0 10,methanolisation,0.00135
Link,AT0 10,rural air heat pump,1e-05
Link,AT0 10,rural ground heat pump,0.0
Link,AT0 10,rural resistive heater,138.239
Link,AT0 10,rural water tanks charger,0.00078
Link,AT0 10,rural water tanks discharger,0.00078
Link,AT0 10,urban central air heat pump,1e-05
Link,AT0 10,urban central ptes heat pump,1e-05
Link,AT0 10,urban central resistive heater,411.38869
Link,AT0 10,urban central water pits charger,283.35674
Link,AT0 10,urban central water pits discharger,283.35674
Link,AT0 10,urban central water tanks charger,0.00034
Link,AT0 10,urban central water tanks discharger,0.00034
Link,AT0 10,urban decentral air heat pump,1e-05
Link,AT0 10,urban decentral resistive heater,361.14702
Link,AT0 10,urban decentral water tanks charger,0.00077
Link,AT0 10,urban decentral water tanks discharger,0.00077
Link,AT0 11,BEV charger,1399.65456
Link,AT0 11,DAC,0.0
Link,AT0 11,Fischer-Tropsch,2e-05
Link,AT0 11,H2 Electrolysis,0.01196
Link,AT0 11,H2 Fuel Cell,1e-05
Link,AT0 11,H2 pipeline,0.00613
Link,AT0 11,Sabatier,1e-05
Link,AT0 11,V2G,699.82728
Link,AT0 11,battery charger,0.00014
Link,AT0 11,battery discharger,0.00014
Link,AT0 11,electricity distribution grid,0.00016
Link,AT0 11,home battery charger,0.0001
Link,AT0 11,home battery discharger,0.0001
Link,AT0 11,methanolisation,0.00744
Link,AT0 11,rural air heat pump,0.0
Link,AT0 11,rural ground heat pump,0.0
Link,AT0 11,rural resistive heater,387.5782
Link,AT0 11,rural water tanks charger,0.00076
Link,AT0 11,rural water tanks discharger,0.00076
Link,AT0 11,urban central air heat pump,1e-05
Link,AT0 11,urban central ptes heat pump,1e-05
Link,AT0 11,urban central resistive heater,467.56433
Link,AT0 11,urban central water pits charger,0.00039
Link,AT0 11,urban central water pits discharger,0.00039
Link,AT0 11,urban central water tanks charger,0.00021
Link,AT0 11,urban central water tanks discharger,0.00021
Link,AT0 11,urban decentral air heat pump,0.0
Link,AT0 11,urban decentral resistive heater,0.90764
Link,AT0 11,urban decentral water tanks charger,0.00076
Link,AT0 11,urban decentral water tanks discharger,0.00076
Link,AT0 12,BEV charger,4049.45732
Link,AT0 12,DAC,0.0
Link,AT0 12,Fischer-Tropsch,2e-05
Link,AT0 12,H2 Electrolysis,0.00022
Link,AT0 12,H2 Fuel Cell,1e-05
Link,AT0 12,H2 pipeline,0.00919
Link,AT0 12,Sabatier,1e-05
Link,AT0 12,V2G,2024.72866
Link,AT0 12,battery charger,0.00014
Link,AT0 12,battery discharger,0.00014
Link,AT0 12,electricity distribution grid,0.00018
Link,AT0 12,home battery charger,0.0001
Link,AT0 12,home battery discharger,0.0001
Link,AT0 12,methanolisation,0.00052
Link,AT0 12,rural air heat pump,0.0
Link,AT0 12,rural ground heat pump,0.0
Link,AT0 12,rural resistive heater,74.70553
Link,AT0 12,rural water tanks charger,0.00077
Link,AT0 12,rural water tanks discharger,0.00077
Link,AT0 12,urban central air heat pump,1e-05
Link,AT0 12,urban central ptes heat pump,1e-05
Link,AT0 12,urban central resistive heater,2086.95805
Link,AT0 12,urban central water pits charger,0.00039
Link,AT0 12,urban central water pits discharger,0.00039
Link,AT0 12,urban central water tanks charger,0.00021
Link,AT0 12,urban central water tanks discharger,0.00021
Link,AT0 12,urban decentral air heat pump,0.0
Link,AT0 12,urban decentral resistive heater,628.85479
Link,AT0 12,urban decentral water tanks charger,0.00077
Link,AT0 12,urban decentral water tanks discharger,0.00077
Link,AT0 13,BEV charger,1777.46191
Link,AT0 13,DAC,0.0
Link,AT0 13,Fischer-Tropsch,2e-05
Link,AT0 13,H2 Electrolysis,17.33011
Link,AT0 13,H2 Fuel Cell,1e-05
Link,AT0 13,H2 pipeline,10.77897
Link,AT0 13,Sabatier,1e-05
Link,AT0 13,V2G,888.73095
Link,AT0 13,battery charger,0.00014
Link,AT0 13,battery discharger,0.00014
Link,AT0 13,electricity distribution grid,0.00016
Link,AT0 13,home battery charger,0.0001
Link,AT0 13,home battery discharger,0.0001
Link,AT0 13,methanolisation,0.00033
Link,AT0 13,rural air heat pump,0.0
Link,AT0 13,rural ground heat pump,0.0
Link,AT0 13,rural resistive heater,422.61507
Link,AT0 13,rural water tanks charger,0.00076
Link,AT0 13,rural water tanks discharger,0.00076
Link,AT0 13,urban central air heat pump,1e-05
Link,AT0 13,urban central ptes heat pump,1e-05
Link,AT0 13,urban central resistive heater,707.54506
Link,AT0 13,urban central water pits charger,0.00039
Link,AT0 13,urban central water pits discharger,0.00039
Link,AT0 13,urban central water tanks charger,0.00021
Link,AT0 13,urban central water tanks discharger,0.00021
Link,AT0 13,urban decentral air heat pump,0.0
Link,AT0 13,urban decentral resistive heater,43.94357
Link,AT0 13,urban decentral water tanks charger,0.00077
Link,AT0 13,urban decentral water tanks discharger,0.00077
Link,AT0 14,BEV charger,1792.36407
Link,AT0 14,DAC,0.0
Link,AT0 14,Fischer-Tropsch,3e-05
Link,AT0 14,H2 Electrolysis,0.00033
Link,AT0 14,H2 Fuel Cell,1e-05
Link,AT0 14,H2 pipeline,0.0052
Link,AT0 14,Sabatier,1e-05
Link,AT0 14,V2G,896.18204
Link,AT0 14,battery charger,0.00014
Link,AT0 14,battery discharger,0.00014
Link,AT0 14,electricity distribution grid,0.00017
Link,AT0 14,home battery charger,0.0001
Link,AT0 14,home battery discharger,0.0001
Link,AT0 14,methanolisation,0.00013
Link,AT0 14,rural air heat pump,0.0
Link,AT0 14,rural ground heat pump,0.0
Link,AT0 14,rural resistive heater,615.46819
Link,AT0 14,rural water tanks charger,0.00076
Link,AT0 14,rural water tanks discharger,0.00076
Link,AT0 14,urban decentral air heat pump,0.0
Link,AT0 14,urban decentral resistive heater,82.40229
Link,AT0 14,urban decentral water tanks charger,0.00077
Link,AT0 14,urban decentral water tanks discharger,0.00077
Link,AT0 15,BEV charger,744.12945
Link,AT0 15,DAC,0.0
Link,AT0 15,Fischer-Tropsch,3e-05
Link,AT0 15,H2 Electrolysis,0.00043
Link,AT0 15,H2 Fuel Cell,1e-05
Link,AT0 15,H2 pipeline,0.00522
Link,AT0 15,Sabatier,1e-05
Link,AT0 15,V2G,372.06473
Link,AT0 15,battery charger,0.00014
Link,AT0 15,battery discharger,0.00014
Link,AT0 15,electricity distribution grid,0.00018
Link,AT0 15,home battery charger,0.0001
Link,AT0 15,home battery discharger,0.0001
Link,AT0 15,methanolisation,0.00053
Link,AT0 15,rural air heat pump,0.0
Link,AT0 15,rural ground heat pump,0.0
Link,AT0 15,rural resistive heater,242.51504
Link,AT0 15,rural water tanks charger,0.00076
Link,AT0 15,rural water tanks discharger,0.00076
Link,AT0 15,urban decentral air heat pump,0.0
Link,AT0 15,urban decentral resistive heater,155.5227
Link,AT0 15,urban decentral water tanks charger,0.00076
Link,AT0 15,urban decentral water tanks discharger,0.00076
Link,AT0 16,BEV charger,1010.42701
Link,AT0 16,DAC,0.0
Link,AT0 16,Fischer-Tropsch,3e-05
Link,AT0 16,H2 Electrolysis,0.00537
Link,AT0 16,H2 Fuel Cell,1e-05
Link,AT0 16,H2 pipeline,0.00312
Link,AT0 16,Sabatier,1e-05
Link,AT0 16,V2G,505.21351
Link,AT0 16,battery charger,0.00014
Link,AT0 16,battery discharger,0.00014
Link,AT0 16,electricity distribution grid,0.00017
