cost,component,location,carrier,0
capital,Line,AT0 1,AC,13117676.21122
capital,Line,AT0 10,AC,2811972.34081
capital,Line,AT0 11,AC,9962105.15071
capital,Line,AT0 12,AC,14947276.04207
capital,Line,AT0 13,AC,5849764.61439
capital,Line,AT0 14,AC,5788993.96553
capital,Line,AT0 15,AC,13912991.29911
capital,Line,AT0 16,AC,11121950.84265
capital,Line,AT0 17,AC,2687342.698
capital,Line,AT0 18,AC,1764156.90979
capital,Line,AT0 19,AC,3944176.20354
capital,Line,AT0 2,AC,9955247.49511
capital,Line,AT0 20,AC,21628144.24348
capital,Line,AT0 23,AC,15489507.93917
capital,Line,AT0 24,AC,1901960.72939
capital,Line,AT0 3,AC,3152134.57288
capital,Line,AT0 4,AC,13194685.2262
capital,Link,AT0 0,BEV charger,0.0
capital,Link,AT0 0,DAC,4.71163
capital,Link,AT0 0,Fischer-Tropsch,1.66691
capital,Link,AT0 0,H2 Electrolysis,45230982.60347
capital,Link,AT0 0,H2 Fuel Cell,0.91784
capital,Link,AT0 0,H2 pipeline,7.29307
capital,Link,AT0 0,Sabatier,1.00169
capital,Link,AT0 0,V2G,0.0
capital,Link,AT0 0,battery charger,3.415
capital,Link,AT0 0,battery discharger,0.0
capital,Link,AT0 0,electricity distribution grid,4.52002
capital,Link,AT0 0,home battery charger,3.43969
capital,Link,AT0 0,home battery discharger,0.0
capital,Link,AT0 0,methanolisation,5666222.18058
capital,Link,AT0 0,rural air heat pump,1.97653
capital,Link,AT0 0,rural ground heat pump,2.03
capital,Link,AT0 0,rural resistive heater,6870133.94101
capital,Link,AT0 0,rural water tanks charger,0.0
capital,Link,AT0 0,rural water tanks discharger,0.0
capital,Link,AT0 0,urban central air heat pump,2.02122
capital,Link,AT0 0,urban central ptes heat pump,1.79435
capital,Link,AT0 0,urban central resistive heater,2522393.57157
capital,Link,AT0 0,urban central water pits charger,0.0
capital,Link,AT0 0,urban central water pits discharger,0.0
capital,Link,AT0 0,urban central water tanks charger,0.0
capital,Link,AT0 0,urban central water tanks discharger,0.0
capital,Link,AT0 0,urban decentral air heat pump,1.96605
capital,Link,AT0 0,urban decentral resistive heater,3254948.7057
capital,Link,AT0 0,urban decentral water tanks charger,0.0
capital,Link,AT0 0,urban decentral water tanks discharger,0.0
capital,Link,AT0 1,BEV charger,0.0
capital,Link,AT0 1,DAC,4.72067
capital,Link,AT0 1,Fischer-Tropsch,1.64565
capital,Link,AT0 1,H2 Electrolysis,2508.67432
capital,Link,AT0 1,H2 Fuel Cell,0.90009
capital,Link,AT0 1,H2 pipeline,9.59423
capital,Link,AT0 1,Sabatier,0.99898
capital,Link,AT0 1,V2G,0.0
capital,Link,AT0 1,battery charger,3.40672
capital,Link,AT0 1,battery discharger,0.0
capital,Link,AT0 1,electricity distribution grid,4.17853
capital,Link,AT0 1,home battery charger,3.46995
capital,Link,AT0 1,home battery discharger,0.0
capital,Link,AT0 1,methanolisation,641.25589
capital,Link,AT0 1,rural air heat pump,1.87172
capital,Link,AT0 1,rural ground heat pump,1.86568
capital,Link,AT0 1,rural resistive heater,1939421.95563
capital,Link,AT0 1,rural water tanks charger,0.0
capital,Link,AT0 1,rural water tanks discharger,0.0
capital,Link,AT0 1,urban central air heat pump,1.82902
capital,Link,AT0 1,urban central ptes heat pump,1.8481
