cost,component,location,carrier,0
capital,Generator,AT0 5,ror,12018644.50423
capital,Generator,AT0 5,rural heat vent,0.0
capital,Generator,AT0 5,rural solar thermal,0.39126
capital,Generator,AT0 5,solar,4538662.18898
capital,Generator,AT0 5,solar rooftop,1.50657
capital,Generator,AT0 5,solar-hsat,1.99425
capital,Generator,AT0 5,urban central heat vent,0.0
capital,Generator,AT0 5,urban central solar thermal,0.3864
capital,Generator,AT0 5,urban decentral heat vent,0.0
capital,Generator,AT0 5,urban decentral solar thermal,0.39269
capital,Generator,AT0 6,onwind,0.44136
capital,Generator,AT0 6,ror,80740637.43871
capital,Generator,AT0 6,rural heat vent,0.0
capital,Generator,AT0 6,rural solar thermal,0.38658
capital,Generator,AT0 6,solar,3361148.44854
capital,Generator,AT0 6,solar rooftop,1.47051
capital,Generator,AT0 6,solar-hsat,1.93999
capital,Generator,AT0 6,urban decentral heat vent,0.0
capital,Generator,AT0 6,urban decentral solar thermal,0.38499
capital,Generator,AT0 7,onwind,0.28965
capital,Generator,AT0 7,ror,3081703.71903
capital,Generator,AT0 7,rural heat vent,0.0
capital,Generator,AT0 7,rural solar thermal,0.39503
capital,Generator,AT0 7,solar,3206890.61053
capital,Generator,AT0 7,solar rooftop,1.25507
capital,Generator,AT0 7,solar-hsat,1.9539
capital,Generator,AT0 7,urban decentral heat vent,0.0
capital,Generator,AT0 7,urban decentral solar thermal,0.3932
capital,Generator,AT0 8,onwind,10414786.34932
capital,Generator,AT0 8,ror,101079881.98433
capital,Generator,AT0 8,rural heat vent,0.0
capital,Generator,AT0 8,rural solar thermal,0.3621
capital,Generator,AT0 8,solar,8547669.79114
capital,Generator,AT0 8,solar rooftop,1.74406
capital,Generator,AT0 8,solar-hsat,1.95737
capital,Generator,AT0 8,urban central heat vent,0.0
capital,Generator,AT0 8,urban central solar thermal,0.35978
capital,Generator,AT0 8,urban decentral heat vent,0.0
capital,Generator,AT0 8,urban decentral solar thermal,0.36088
capital,Generator,AT0 9,onwind,4050193.8503
capital,Generator,AT0 9,rural heat vent,0.0
capital,Generator,AT0 9,rural solar thermal,0.36162
capital,Generator,AT0 9,solar,3106284.5497
capital,Generator,AT0 9,solar rooftop,1.48643
capital,Generator,AT0 9,solar-hsat,1.92381
capital,Generator,AT0 9,urban central heat vent,0.0
capital,Generator,AT0 9,urban central solar thermal,0.35765
capital,Generator,AT0 9,urban decentral heat vent,0.0
capital,Generator,AT0 9,urban decentral solar thermal,0.35983
capital,Generator,EU,biogas,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Line,AT0 0,AC,4175014.5869
capital,Line,AT0 1,AC,13117675.30707
capital,Line,AT0 10,AC,2811972.22503
capital,Line,AT0 11,AC,9962104.89404
capital,Line,AT0 12,AC,14947275.10539
capital,Line,AT0 13,AC,7151389.51089
capital,Line,AT0 14,AC,5788994.03679
capital,Line,AT0 15,AC,13912991.25245
capital,Line,AT0 16,AC,11121950.41361
capital,Line,AT0 17,AC,2687342.60658
capital,Line,AT0 18,AC,1764156.90454
capital,Line,AT0 19,AC,3944176.1725
capital,Line,AT0 2,AC,9955247.31648
capital,Line,AT0 20,AC,21628144.68883
capital,Line,AT0 23,AC,15489507.81843
capital,Line,AT0 24,AC,1901960.66502
capital,Line,AT0 3,AC,6118952.11348
capital,Line,AT0 4,AC,13194687.2438
capital,Link,AT0 0,BEV charger,0.0
capital,Link,AT0 0,DAC,4.29255
capital,Link,AT0 0,Fischer-Tropsch,54.30707
capital,Link,AT0 0,H2 Electrolysis,22870613.74378
capital,Link,AT0 0,H2 Fuel Cell,0.77094
capital,Link,AT0 0,H2 pipeline,5.91473
capital,Link,AT0 0,Sabatier,1.06248
capital,Link,AT0 0,V2G,0.0
capital,Link,AT0 0,battery charger,2.81245
capital,Link,AT0 0,battery discharger,0.0
capital,Link,AT0 0,electricity distribution grid,3.80117
capital,Link,AT0 0,home battery charger,2.84371
capital,Link,AT0 0,home battery discharger,0.0
capital,Link,AT0 0,methanolisation,14.96489
capital,Link,AT0 0,rural air heat pump,1.59285
capital,Link,AT0 0,rural ground heat pump,1.64348
capital,Link,AT0 0,rural resistive heater,6870134.06659
capital,Link,AT0 0,rural water tanks charger,0.0
capital,Link,AT0 0,rural water tanks discharger,0.0
capital,Link,AT0 0,urban central air heat pump,1.63196
capital,Link,AT0 0,urban central ptes heat pump,1.45141
