component,location,carrier,0
Generator,AT0 5,rural heat vent,0.6947268266309371
Generator,AT0 5,rural solar thermal,0.0
Generator,AT0 5,solar,0.04512675901654965
Generator,AT0 5,solar rooftop,0.0
Generator,AT0 5,solar-hsat,0.0
Generator,AT0 5,urban central heat vent,0.8527351463300957
Generator,AT0 5,urban central solar thermal,0.0
Generator,AT0 5,urban decentral heat vent,0.6947299367020384
Generator,AT0 5,urban decentral solar thermal,0.0
Generator,AT0 6,onwind,
Generator,AT0 6,ror,0.4951718320610687
Generator,AT0 6,rural heat vent,0.48866748260579157
Generator,AT0 6,rural solar thermal,0.0
Generator,AT0 6,solar,0.040388546066240566
Generator,AT0 6,solar rooftop,0.0
Generator,AT0 6,solar-hsat,0.0
Generator,AT0 6,urban decentral heat vent,0.9977647171786643
Generator,AT0 6,urban decentral solar thermal,0.0
Generator,AT0 7,onwind,
Generator,AT0 7,ror,0.191778
Generator,AT0 7,rural heat vent,0.8122590272234075
Generator,AT0 7,rural solar thermal,0.0
Generator,AT0 7,solar,0.047400871505581484
Generator,AT0 7,solar rooftop,0.0
Generator,AT0 7,solar-hsat,0.0
Generator,AT0 7,urban decentral heat vent,0.44400837257980114
Generator,AT0 7,urban decentral solar thermal,0.0
Generator,AT0 8,onwind,0.07256720609617641
Generator,AT0 8,ror,0.26278365853658536
Generator,AT0 8,rural heat vent,0.7586322663380708
Generator,AT0 8,rural solar thermal,0.0
Generator,AT0 8,solar,0.026445296248181326
Generator,AT0 8,solar rooftop,0.0
Generator,AT0 8,solar-hsat,0.0
Generator,AT0 8,urban central heat vent,0.7603770233426378
Generator,AT0 8,urban central solar thermal,0.0
Generator,AT0 8,urban decentral heat vent,0.7586298697800273
Generator,AT0 8,urban decentral solar thermal,0.0
Generator,AT0 9,onwind,0.03034057142857143
Generator,AT0 9,rural heat vent,0.7628447474222105
Generator,AT0 9,rural solar thermal,0.0
Generator,AT0 9,solar,0.030201476336825135
Generator,AT0 9,solar rooftop,0.0
Generator,AT0 9,solar-hsat,0.0
Generator,AT0 9,urban central heat vent,0.62779928817836
Generator,AT0 9,urban central solar thermal,0.0
Generator,AT0 9,urban decentral heat vent,0.6248816834675612
Generator,AT0 9,urban decentral solar thermal,0.0
Generator,EU,biogas,0.0
Generator,EU,gas,0.5290629376158615
Generator,EU,oil primary,0.9821970465334293
Generator,EU,solid biomass,9.491689768902168e-05
Load,AT0 0,H2 for industry,
Load,AT0 0,agriculture electricity,
Load,AT0 0,agriculture heat,
Load,AT0 0,electricity,
Load,AT0 0,industry electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,low-temperature heat for industry,
Load,AT0 0,rural heat,
Load,AT0 0,urban central heat,
Load,AT0 0,urban decentral heat,
Load,AT0 1,H2 for industry,
Load,AT0 1,agriculture electricity,
Load,AT0 1,agriculture heat,
Load,AT0 1,electricity,
Load,AT0 1,industry electricity,
Load,AT0 1,land transport EV,
Load,AT0 1,low-temperature heat for industry,
Load,AT0 1,rural heat,
Load,AT0 1,urban central heat,
Load,AT0 1,urban decentral heat,
Load,AT0 10,H2 for industry,
Load,AT0 10,agriculture electricity,
Load,AT0 10,agriculture heat,
Load,AT0 10,electricity,
Load,AT0 10,industry electricity,
Load,AT0 10,land transport EV,
Load,AT0 10,low-temperature heat for industry,
Load,AT0 10,rural heat,
Load,AT0 10,urban central heat,
Load,AT0 10,urban decentral heat,
Load,AT0 11,H2 for industry,
Load,AT0 11,agriculture electricity,
Load,AT0 11,agriculture heat,
Load,AT0 11,electricity,
Load,AT0 11,industry electricity,
Load,AT0 11,land transport EV,
Load,AT0 11,low-temperature heat for industry,
Load,AT0 11,rural heat,
Load,AT0 11,urban central heat,
Load,AT0 11,urban decentral heat,
Load,AT0 12,H2 for industry,
Load,AT0 12,agriculture electricity,
Load,AT0 12,agriculture heat,
Load,AT0 12,electricity,
Load,AT0 12,industry electricity,
Load,AT0 12,land transport EV,
Load,AT0 12,low-temperature heat for industry,
Load,AT0 12,rural heat,
